cohort_month,active_month,new_res,retained_res,total_res,new_res_gmv,retained_res_gmv,total_res_gmv,new_res_txns,retained_res_txns,total_res_txns,transacting_res,new_transacting_res,retained_transacting_res
2025/01/01,2025/01/01,89,3610,3699,2131020.18,676468123.29,678599143.47,602,195200,195802,2248,46,2202
2025/01/01,2025/02/01,88,3591,3679,8533585.87,631991050.18,640524636.05,2609,182204,184813,2273,62,2169
2025/01/01,2025/03/01,88,3588,3676,10907773.80,735648569.28,746556343.08,3267,200888,204155,2296,62,2135
2025/01/01,2025/04/01,88,3576,3664,10183192.51,704244150.48,714427342.99,3053,194026,197079,2353,61,2136
2025/01/01,2025/05/01,88,3558,3646,14247210.48,802423600.60,816670811.08,3844,218439,222283,2405,62,2135
2025/01/01,2025/06/01,88,3536,3624,15639008.48,763750846.47,779389854.95,4226,208781,213007,2415,58,2084
2025/01/01,2025/07/01,87,3518,3605,14731978.21,747149368.76,761881346.97,4124,204393,208517,2485,59,2077
2025/01/01,2025/08/01,87,3505,3592,17607563.41,859184178.31,876791741.72,4759,236799,241558,2575,60,2065
2025/01/01,2025/09/01,87,3492,3579,17297008.43,741538842.88,758835851.31,4557,205865,210422,2636,65,2076
2025/01/01,2025/10/01,86,3457,3543,19869483.74,779354789.09,799224272.83,5064,204486,209550,2608,59,2035
2025/01/01,2025/11/01,85,3459,3544,20801944.99,849348225.67,870150170.66,5217,221133,226350,2679,59,2066
2025/01/01,2025/12/01,83,3451,3534,23853494.50,938266573.73,962120068.23,5866,244857,250723,2856,58,2134
2025/01/01,2026/01/01,82,3424,3506,21772380.76,843211904.12,864984284.88,5806,230694,236500,2928,59,2121
2025/01/01,2026/02/01,74,3391,3465,20331822.95,776040484.68,796372307.63,5084,210467,215551,2994,59,2085
2025/01/01,2026/03/01,74,3368,3442,20569853.03,821357950.83,841927803.86,5379,226172,231551,3112,59,2077
2025/01/01,2026/04/01,74,3345,3419,4033869.19,178291580.05,182325449.24,1067,46516,47583,2581,49,1751
2025/02/01,2025/02/01,60,3679,3739,2540495.51,640524636.05,643065131.56,919,184813,185732,2273,42,2231
2025/02/01,2025/03/01,60,3676,3736,8478745.73,746556343.08,755035088.81,2719,204155,206874,2296,50,2197
2025/02/01,2025/04/01,60,3664,3724,9615027.86,714427342.99,724042370.85,2874,197079,199953,2353,51,2197
2025/02/01,2025/05/01,60,3646,3706,9968998.14,816670811.08,826639809.22,3020,222283,225303,2405,49,2197
2025/02/01,2025/06/01,59,3624,3683,9909710.81,779389854.95,789299565.76,3043,213007,216050,2415,47,2142
2025/02/01,2025/07/01,59,3605,3664,11162356.50,761881346.97,773043703.47,3439,208517,211956,2485,50,2136
2025/02/01,2025/08/01,58,3592,3650,16371777.95,876791741.72,893163519.67,4731,241558,246289,2575,49,2125
2025/02/01,2025/09/01,58,3579,3637,12772128.40,758835851.31,771607979.71,3897,210422,214319,2636,48,2141
2025/02/01,2025/10/01,57,3543,3600,13364335.14,799224272.83,812588607.97,3730,209550,213280,2608,46,2094
2025/02/01,2025/11/01,57,3544,3601,15074562.79,870150170.66,885224733.45,4366,226350,230716,2679,44,2125
2025/02/01,2025/12/01,57,3534,3591,17491757.76,962120068.23,979611825.99,4925,250723,255648,2856,46,2192
2025/02/01,2026/01/01,56,3506,3562,14699982.42,864984284.88,879684267.30,4555,236500,241055,2928,44,2180
2025/02/01,2026/02/01,57,3465,3522,14575606.10,796372307.63,810947913.73,4424,215551,219975,2994,45,2144
2025/02/01,2026/03/01,57,3442,3499,15031594.03,841927803.86,856959397.89,4656,231551,236207,3112,46,2136
2025/02/01,2026/04/01,57,3419,3476,3371662.00,182325449.24,185697111.24,967,47583,48550,2581,38,1800
2025/03/01,2025/03/01,81,3736,3817,2188090.80,755035088.81,757223179.61,832,206874,207706,2296,49,2247
2025/03/01,2025/04/01,81,3724,3805,5675231.39,724042370.85,729717602.24,2222,199953,202175,2353,59,2248
